net,length_um
net1631,2970.18
_04320_,2968.835
net1853,2968.79
net1627,2968.71
net1993,2968.45
decoder.rf.ram\[2\]\[7\],2968.3
decoder.rf.ram\[10\]\[5\],2968.28
net1849,2968.12
net1250,2967.84
net14,2967.035
net922,2966.41
net108,2966.02
net508,2965.74
_02834_,2965.32
net345,2965.22
net1527,2965.16
net201,2964.47
net115,2964.15
net1663,2963.95
decoder.rf.ram\[3\]\[28\],2963.3
net1318,2963.02
net166,2962.795
net1991,2962.42
decoder.rf.ram\[11\]\[2\],2961.595
_00925_,2960.105
net1123,2960.04
decoder.rf.ram\[3\]\[22\],2959.87
net1403,2959.8
net1760,2959.67
net1498,2959.54
net1975,2959.43
_00021_,2959.19
_03867_,2959.17
decoder.rf.ram\[1\]\[11\],2958.185
net342,2957.88
_03173_,2956.77
net2011,2956.72
net505,2955.68
net587,2955.6
_00438_,2955.03
net464,2954.79
_00823_,2954.525
net1377,2953.6
net1268,2953.3
decoder.rf.ram\[14\]\[20\],2952.95
decoder.rf.ram\[17\]\[14\],2952.9
net1020,2951.85
_00091_,2951.66
decoder.rf.ram\[0\]\[21\],2951.52
_02982_,2950.37
net1099,2950.03
decoder.rf.ram\[16\]\[9\],2948.58
decoder.rf.ram\[12\]\[20\],2948.18
_04003_,2948.135
_00080_,2948.07
net1936,2946.58
decoder.rf.ram\[27\]\[15\],2945.79
net709,2945.055
net1410,2945.04
decoder.rf.ram\[13\]\[19\],2944.73
net432,2944.16
net233,2943.34
net1467,2942.955
net1614,2942.78
net1457,2942.6
net1598,2942.1
_02059_,2941.95
decoder.rf.ram\[12\]\[11\],2941.92
_00773_,2941.73
decoder.rf.ram\[3\]\[24\],2941.42
counter.adress\[3\],2940.88
net1258,2940.42
_04171_,2940.24
net1373,2939.46
_03144_,2939.2
net1517,2938.42
net220,2937.82
decoder.rf.ram\[8\]\[4\],2937.22
net1111,2936.54
decoder.rf.ram\[20\]\[25\],2936.27
_00330_,2935.78
net260,2935.38
decoder.rf.ram\[8\]\[29\],2934.98
decoder.rf.ram\[29\]\[21\],2934.38
net944,2934
net1479,2933.53
net899,2932.8
_00533_,2932.74
decoder.rf.ram\[22\]\[21\],2932.67
decoder.rf.ram\[25\]\[31\],2932.6
_04461_,2932.24
net691,2931.57
net1469,2930.6
net1370,2930.54
net1777,2930.54
net2098,2929.63
net377,2929.54
net1524,2928.89
net158,2928.84
decoder.rf.ram\[10\]\[0\],2928.78
net1030,2928.24
_04084_,2927.94
decoder.rf.ram\[24\]\[2\],2927.94
decoder.rf.ram\[29\]\[16\],2927.43
net1526,2927.26
_02401_,2926.71
_02768_,2926.16
net1317,2926.12
_00362_,2924.6
net1391,2924.42
net1148,2924.23
_04271_,2924.19
decoder.rf.ram\[12\]\[12\],2923.64
net1352,2923.36
decoder.rf.ram\[22\]\[6\],2922.74
net331,2922.48
net589,2922.46
net423,2922.21
net1482,2921.41
_01197_,2921.19
net328,2920.92
net938,2920.89
net123,2920.56
_03197_,2920.32
_00492_,2920.15
net1407,2920.05
net1450,2919.52
net578,2918.75
decoder.rf.ram\[4\]\[24\],2917.38
net1484,2917.33
decoder.rf.ram\[12\]\[14\],2917.14
net1587,2916.155
_00287_,2916.02
net1474,2915.7
net1402,2915.51
_04386_,2915.22
net1483,2914.47
decoder.rf.ram\[25\]\[14\],2914.41
net248,2913.45
decoder.rf.ram\[11\]\[13\],2913.08
net1961,2912.1
net1439,2911.5
_03737_,2910.3
decoder.rf.ram\[29\]\[27\],2910.1
_02806_,2909.92
net1018,2909.4
_02437_,2908.73
_00960_,2908.54
_00213_,2907.26
net921,2906.41
_04211_,2906.245
decoder.rf.ram\[0\]\[18\],2905.195
_00069_,2904.9
net1174,2904.71
net196,2903.32
net586,2903.28
_03777_,2902.83
_01280_,2902.4
decoder.rf.ram\[9\]\[16\],2900.56
_04175_,2900.38
net1282,2900.26
_04063_,2900.17
net1365,2899.86
decoder.rf.ram\[29\]\[8\],2899.55
decoder.rf.ram\[23\]\[23\],2899
net588,2898.27
net885,2898.14
net2005,2897.32
_03502_,2897.12
net450,2896.75
net1468,2896.19
net548,2894.96
net1942,2894.5
net171,2894.25
net1122,2893.78
_00769_,2892.345
net2015,2891.65
net750,2891.3
net1422,2891.27
net1130,2891.09
_04111_,2889.84
net374,2889.51
net701,2889.47
net1404,2889.08
decoder.rf.ram\[5\]\[17\],2888.38
_03498_,2888.07
_02866_,2887.54
net810,2887.32
decoder.rf.ram\[0\]\[9\],2886.96
net272,2886.6
net465,2886.23
decoder.rf.ram\[16\]\[27\],2886.18
net584,2886.06
_02743_,2885.4
decoder.rf.ram\[7\]\[19\],2884.5
_00622_,2883.66
_04110_,2883.385
decoder.rf.ram\[19\]\[17\],2883.285
net1330,2881.61
net1192,2880.82
net1134,2880.44
net1401,2878.91
_03951_,2878.05
net1460,2877.06
decoder.rf.ram\[11\]\[6\],2877
_02093_,2876.76
_03340_,2876.14
net213,2876.03
net532,2875.58
_00106_,2875.445
net1445,2875.32
net1274,2875.3
_04223_,2874.96
net1076,2874.62
_01470_,2874.58
net1110,2874.52
_00223_,2873.8
_03538_,2873.62
decoder.rf.ram\[18\]\[0\],2872.515
decoder.rf.ram\[7\]\[16\],2872.5
net1477,2871.64
_00369_,2870.98
decoder.rf.ram\[24\]\[17\],2870.18
net1073,2870.12
_04239_,2869.72
_00186_,2868.58
_00911_,2868.36
net670,2868.06
_00582_,2867.88
net1276,2867.71
_00128_,2867.08
net315,2866.86
decoder.rf.ram\[25\]\[16\],2866.5
net1397,2865.9
net779,2865.18
net892,2864.77
net54,2864.63
decoder.rf.ram\[9\]\[7\],2864.625
net348,2864.16
decoder.rf.ram\[25\]\[12\],2863.76
_03628_,2863
net635,2862.4
net395,2861.915
_03306_,2861.27
_02870_,2860.92
net942,2860.4
net1260,2858.25
net1814,2857.84
net965,2857.67
decoder.rf.ram\[27\]\[6\],2857.43
decoder.rf.ram\[25\]\[2\],2856.945
net1802,2856.595
decoder.inst\[23\],2856.46
_00569_,2856.335
net1415,2855.67
net283,2855.1
net1243,2854.86
_03992_,2854.69
_00248_,2854.1
net284,2853.87
net1412,2853.71
net1501,2853.67
decoder.rf.ram\[9\]\[8\],2853.64
_00413_,2853.515
_02228_,2853.41
net1292,2853
net1678,2852.91
net1354,2851.89
decoder.rf.ram\[23\]\[4\],2851.85
_03914_,2851.67
_00512_,2851.58
net603,2851.15
decoder.rf.ram\[10\]\[17\],2850.32
_02390_,2849.27
net1339,2849.05
decoder.rf.ram\[26\]\[14\],2848.81
_00737_,2848.39
net1618,2848.13
decoder.rf.ram\[26\]\[2\],2847.53
_00134_,2847.34
_03556_,2847.01
net1449,2846.37
net984,2846.18
net1890,2846.18
_03349_,2845.88
net1541,2845.58
decoder.rf.ram\[24\]\[13\],2844.94
net525,2844.93
_03380_,2844.19
_03360_,2843.58
net1376,2843.22
net1366,2842.86
net1518,2842.38
net1171,2841.05
net1017,2840.905
net343,2840.79
_01347_,2840.71
decoder.rf.ram\[14\]\[6\],2838.85
net668,2838.69
_00481_,2838.42
net1183,2838.05
net952,2838.04
decoder.rf.ram\[21\]\[3\],2837.36
net583,2837.2
net622,2835.56
net1237,2835.45
net276,2835.4
net749,2835.1
_04284_,2834.78
net1661,2834.64
_02970_,2833.07
net1723,2832.34
_00260_,2832.295
net1155,2831.26
net1405,2829.7
net982,2829.1
net1691,2828.45
net1097,2828.36
_03834_,2828.3
_02944_,2827.6
_00609_,2827.1
_01330_,2827.1
_00470_,2826.675
net421,2826.31
_02566_,2824.9
net1707,2824.61
decoder.rf.ram\[31\]\[16\],2824.49
net924,2824.42
net1343,2823.48
net280,2823.42
net1072,2823.34
net1259,2822.73
net628,2822.62
net920,2821.91
net1686,2821.34
net30,2820.15
net1162,2819.35
net1368,2818.21
net261,2818.175
net1267,2816.16
net1437,2815.7
decoder.rf.ram\[17\]\[23\],2815.04
net1106,2814.81
decoder.result\[11\],2814.69
_00568_,2814.56
net968,2813.73
_00656_,2812.89
net1164,2812.34
net1455,2811.535
net1394,2810.5
net1278,2810.38
_01257_,2810.01
net513,2809.6
_01537_,2809.48
net1548,2809.445
decoder.rf.ram\[25\]\[6\],2808.655
_01131_,2807.84
_01384_,2807.8
_03542_,2807.65
_00507_,2807.2
net1085,2806.83
decoder.rf.ram\[3\]\[8\],2806.66
net339,2806.37
net403,2805.84
net1093,2805.82
net1645,2804.86
net1269,2804.52
_00660_,2804.43
decoder.rf.ram\[6\]\[29\],2804.12
net614,2803.9
net585,2803.69
net1389,2802.7
_03100_,2801.42
net1160,2801.31
decoder.rf.ram\[3\]\[18\],2801.3
net1264,2800.94
_03286_,2800.8
net1081,2800.71
net2012,2799.89
net1495,2799.38
net382,2799.3
net303,2799.1
_03505_,2799.05
net1357,2799.01
net373,2798.9
net349,2798.76
net951,2798.38
net746,2797.9
net451,2797.8
net946,2797.57
net1319,2797.02
net341,2796.98
decoder.rf.ram\[18\]\[11\],2796.28
_00202_,2795.2
_01114_,2794.8
net346,2794.07
net686,2792.8
_03766_,2792.64
decoder.rf.ram\[14\]\[1\],2792.54
decoder.rf.ram\[17\]\[25\],2792.4
_01817_,2790.815
net533,2790.6
net155,2790.23
net971,2789.97
_02170_,2788.82
_00154_,2788.67
decoder.rf.ram\[5\]\[0\],2788.035
net940,2787.98
net966,2787.79
net1175,2787.67
net1488,2786.01
net917,2785.945
