net,length_um
_2664_,2751.3
net992,2751.15
_3350_,2750.99
_1992_,2748.935
_2461_,2746.84
net370,2746.65
ram\[10\]\[5\],2746.42
_3051_,2744.94
ram\[20\]\[18\],2744.9
net522,2744.8
ram\[18\]\[30\],2744.54
net329,2744.51
ram\[5\]\[12\],2744.18
ram\[22\]\[4\],2743.61
net610,2743.57
net498,2740.09
net1166,2739.53
net875,2739.52
ram\[25\]\[22\],2738.76
_0645_,2738.7
net979,2738.7
net219,2738.56
ram\[8\]\[15\],2738.23
_3599_,2737.88
net488,2737.7
_0069_,2736.54
ram\[28\]\[9\],2735.605
_3195_,2735.5
ram\[31\]\[24\],2734.32
_3295_,2733.88
net885,2732.94
net932,2731.815
net506,2731.38
_0186_,2729.535
_0047_,2729.16
_0477_,2729.06
_0064_,2729.04
_0340_,2728.945
_0144_,2728.88
net834,2728.74
_2684_,2728.62
_0381_,2728.06
_0887_,2727.7
_1661_,2726.94
net1123,2726.92
_0613_,2725.955
net453,2725.86
net413,2725.76
_0309_,2725.68
_0493_,2725.42
ram\[2\]\[2\],2723.88
ram\[23\]\[3\],2723.44
net361,2722.47
ram\[6\]\[28\],2719.72
_3787_,2719.62
_0053_,2717.64
_2614_,2717.18
_0444_,2716.995
_1367_,2716.64
_1638_,2716.56
net1163,2716.44
_3361_,2716.12
_2965_,2716.075
net1048,2714.59
net716,2714.52
ram\[17\]\[16\],2714.38
net857,2713.96
net359,2713.04
ram\[31\]\[22\],2710.77
net782,2709.76
net1277,2709.7
net458,2708.98
ram\[19\]\[12\],2708.67
ram\[28\]\[2\],2708.52
_2861_,2706.1
net1236,2706.08
_3077_,2704.52
_0564_,2703.28
_3328_,2701.9
_2441_,2701.22
net349,2701
net636,2700.73
ram\[30\]\[31\],2699.77
net255,2699.64
ram\[25\]\[7\],2699.55
_0746_,2698.345
net881,2698.06
ram\[16\]\[14\],2697.99
ram\[5\]\[4\],2697.76
net803,2696.16
_0569_,2693.535
net319,2693.36
net1276,2693
_3032_,2692.6
_1291_,2692.22
net438,2692.12
net836,2691.64
net491,2691.08
_0664_,2689.655
_2227_,2689.46
_3371_,2689.46
_1690_,2689.25
net1211,2688.4
net1049,2687.4
ram\[8\]\[5\],2686.78
ram\[3\]\[21\],2685.74
net333,2683.91
net1279,2683.47
net314,2683.45
a2[0],2681.99
net612,2681.48
net747,2681.36
_1007_,2680.04
_2768_,2679.96
_0623_,2679.34
_3442_,2678.865
_0687_,2678.02
_1933_,2677.26
_2028_,2676.5
ram\[6\]\[24\],2676.45
_3287_,2676.37
net1149,2675.85
net327,2675.78
ram\[25\]\[26\],2675.77
net831,2675.5
net1148,2675.29
net503,2674.64
net89,2674.12
net369,2672.73
net300,2672.08
ram\[9\]\[14\],2669.78
net1200,2668.88
_0463_,2668.6
net1230,2668.39
net421,2668.31
_3133_,2668.17
_0471_,2668.155
net1183,2666.86
_1945_,2666.51
_0923_,2666.3
net222,2665.93
_3843_,2665.6
net795,2665.57
ram\[30\]\[11\],2664.985
_0353_,2663.32
net1029,2662.41
_1674_,2662.2
ram\[4\]\[25\],2662.095
net994,2660.9
net523,2660.63
